"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD"
"USC00200228","ANN ARBOR SE, MI US","2013-01-01","0.00","0.0","5",,"35","22","22",
"USC00200228","ANN ARBOR SE, MI US","2013-01-02","0.00","0.0","4",,"27","8","10",
"USC00200228","ANN ARBOR SE, MI US","2013-01-03","0.00","0.0","4",,"26","9","14",
"USC00200228","ANN ARBOR SE, MI US","2013-01-04","0.00","0.0","4",,"29","14","24",
"USC00200228","ANN ARBOR SE, MI US","2013-01-05","0.00","0.0","4",,"31","15","16",
"USC00200228","ANN ARBOR SE, MI US","2013-01-06","0.03","0.8","5",,"33","15","33",
"USC00200228","ANN ARBOR SE, MI US","2013-01-07","0.01","0.0","4",,"35","29","29","0.6"
"USC00200228","ANN ARBOR SE, MI US","2013-01-08","0.00","0.0","4",,"36","19","20",
"USC00200228","ANN ARBOR SE, MI US","2013-01-09","0.00","0.0","3",,"36","20","36",
"USC00200228","ANN ARBOR SE, MI US","2013-01-10","0.00","0.0","2",,"47","20","20",
"USC00200228","ANN ARBOR SE, MI US","2013-01-11","0.67","0.0","1",,"41","20","36",
"USC00200228","ANN ARBOR SE, MI US","2013-01-12","0.07","0.0","0",,"58","36","44",
"USC00200228","ANN ARBOR SE, MI US","2013-01-13","0.58","0.0","0",,"60","38","38",
"USC00200228","ANN ARBOR SE, MI US","2013-01-14","0.15","0.0","0",,"40","24","24",
"USC00200228","ANN ARBOR SE, MI US","2013-01-15","0.00","0.0","0",,"27","12","13",
"USC00200228","ANN ARBOR SE, MI US","2013-01-16","0.00","0.0","0",,"31","13","21",
"USC00200228","ANN ARBOR SE, MI US","2013-01-17","0.00","0.0","0",,"39","21","30",
"USC00200228","ANN ARBOR SE, MI US","2013-01-18","0.00","0.0","0",,"38","17","17",
"USC00200228","ANN ARBOR SE, MI US","2013-01-19","0.00","0.0","0",,"37","15","36",
"USC00200228","ANN ARBOR SE, MI US","2013-01-20","0.00","0.0","0",,"49","19","19",
"USC00200228","ANN ARBOR SE, MI US","2013-01-21","0.00","0.1","0",,"24","16","18",
"USC00200228","ANN ARBOR SE, MI US","2013-01-22","0.08","2.3","1",,"18","-4","-3",
"USC00200228","ANN ARBOR SE, MI US","2013-01-23","0.02","0.2","1",,"12","-3","4",
"USC00200228","ANN ARBOR SE, MI US","2013-01-24","0.02","0.4","1",,"18","4","8",
"USC00200228","ANN ARBOR SE, MI US","2013-01-25","0.02","0.2","1",,"23","8","15",
"USC00200228","ANN ARBOR SE, MI US","2013-01-26","0.16","3.6","5",,"22","15","21",
"USC00200228","ANN ARBOR SE, MI US","2013-01-27","0.00","0.1","4",,"26","10","13","0.3"
"USC00200228","ANN ARBOR SE, MI US","2013-01-28","0.55","2.4","4",,"34","11","34","0.6"
"USC00200228","ANN ARBOR SE, MI US","2013-01-29","0.12","0.0","1",,"44","34","37",
"USC00200228","ANN ARBOR SE, MI US","2013-01-30","0.81","0.0","0",,"61","37","49",
"USC00200228","ANN ARBOR SE, MI US","2013-01-31","0.24","0.3","0",,"53","22","22",
"USC00200228","ANN ARBOR SE, MI US","2013-02-01","0.06","2.0","1",,"23","13","13",
"USC00200228","ANN ARBOR SE, MI US","2013-02-02","0.04","1.0","1",,"19","9","15",
"USC00200228","ANN ARBOR SE, MI US","2013-02-03","0.07","2.6","3",,"23","2","8",
"USC00200228","ANN ARBOR SE, MI US","2013-02-04","0.02","0.6","2",,"23","8","17","0.1"
"USC00200228","ANN ARBOR SE, MI US","2013-02-05","0.10","3.7","5",,"24","17","17",
"USC00200228","ANN ARBOR SE, MI US","2013-02-06","0.02","0.2","4",,"28","11","11",
"USC00200228","ANN ARBOR SE, MI US","2013-02-07","0.00","0.0","2",,"32","10","26","0.2"
"USC00200228","ANN ARBOR SE, MI US","2013-02-08","0.31","2.7","3",,"40","26","29",
"USC00200228","ANN ARBOR SE, MI US","2013-02-09","0.03","0.5","3",,"29","7","7",
"USC00200228","ANN ARBOR SE, MI US","2013-02-10","0.00","0.0","3",,"33","6","19","0.4"
"USC00200228","ANN ARBOR SE, MI US","2013-02-11","0.11","0.0","1",,"44","19","42",
"USC00200228","ANN ARBOR SE, MI US","2013-02-12","0.00","0.1","0",,"42","30","30",
"USC00200228","ANN ARBOR SE, MI US","2013-02-13","0.00","0.0","0",,"32","26","26",
"USC00200228","ANN ARBOR SE, MI US","2013-02-14","0.00","0.0","0",,"40","26","30",
"USC00200228","ANN ARBOR SE, MI US","2013-02-15","0.01","0.2","0",,"40","26","26",
"USC00200228","ANN ARBOR SE, MI US","2013-02-16","0.00","0.0","0",,"30","16","17",
"USC00200228","ANN ARBOR SE, MI US","2013-02-17","0.04","1.0","0",,"27","10","10",
"USC00200228","ANN ARBOR SE, MI US","2013-02-18","0.00","0.0","0",,"25","10","21",
"USC00200228","ANN ARBOR SE, MI US","2013-02-19","0.20","0.0","0",,"46","21","33",
"USC00200228","ANN ARBOR SE, MI US","2013-02-20","0.07","1.9","1",,"33","15","15",
"USC00200228","ANN ARBOR SE, MI US","2013-02-21","0.02","0.5","1",,"22","15","21",
"USC00200228","ANN ARBOR SE, MI US","2013-02-22","0.05","0.6","1",,"28","21","23",
"USC00200228","ANN ARBOR SE, MI US","2013-02-23","0.25","1.8","2",,"33","23","28",
"USC00200228","ANN ARBOR SE, MI US","2013-02-24","0.01","0.1","2",,"34","20","20",
"USC00200228","ANN ARBOR SE, MI US","2013-02-25","0.00","0.0","2",,"38","16","17","0.2"
"USC00200228","ANN ARBOR SE, MI US","2013-02-26","0.00","0.0","0",,"43","17","29",
"USC00200228","ANN ARBOR SE, MI US","2013-02-27","1.58","7.0","7",,"35","29","32",
"USC00200228","ANN ARBOR SE, MI US","2013-02-28","0.10","1.0","6",,"35","32","33",
"USC00200228","ANN ARBOR SE, MI US","2013-03-01","0.01","0.1","4",,"39","26","26",
"USC00200228","ANN ARBOR SE, MI US","2013-03-02","0.01","0.1","4",,"27","24","24",
"USC00200228","ANN ARBOR SE, MI US","2013-03-03","0.02","0.4","4",,"26","18","19",
"USC00200228","ANN ARBOR SE, MI US","2013-03-04","0.00","0.0","4",,"31","12","13","0.9"
"USC00200228","ANN ARBOR SE, MI US","2013-03-05","0.00","0.0","4",,"36","13","21",
"USC00200228","ANN ARBOR SE, MI US","2013-03-06","0.00","0.0","3",,"38","21","27","0.8"
"USC00200228","ANN ARBOR SE, MI US","2013-03-07","0.00","0.0","3",,"41","27","32",
"USC00200228","ANN ARBOR SE, MI US","2013-03-08","0.00","0.0","3",,"37","18","21",
"USC00200228","ANN ARBOR SE, MI US","2013-03-09","0.00","0.0","2",,"45","21","23",
"USC00200228","ANN ARBOR SE, MI US","2013-03-10","0.01","0.0","0",,"44","23","38",
"USC00200228","ANN ARBOR SE, MI US","2013-03-11","0.03","0.0","0",,"63","38","49",
"USC00200228","ANN ARBOR SE, MI US","2013-03-12","0.27","0.0","0",,"52","34","34",
"USC00200228","ANN ARBOR SE, MI US","2013-03-13","0.08","1.0","1",,"36","27","27",
"USC00200228","ANN ARBOR SE, MI US","2013-03-14","0.05","0.9","0",,"33","19","19",
"USC00200228","ANN ARBOR SE, MI US","2013-03-15","0.00","0.0","0",,"42","19","33",
"USC00200228","ANN ARBOR SE, MI US","2013-03-16","0.24","1.9","2",,"40","27","27","0.2"
"USC00200228","ANN ARBOR SE, MI US","2013-03-17","0.02","0.2","2",,"32","20","21",
"USC00200228","ANN ARBOR SE, MI US","2013-03-18","0.00","0.0","0",,"35","21","29",
"USC00200228","ANN ARBOR SE, MI US","2013-03-19","0.10","0.4","0",,"35","24","24",
